,ID,Coin,Slug
0,1,Bitcoin,bitcoin
1,1027,Ethereum,ethereum
2,825,Tether,tether
3,1839,BNB,bnb
4,3408,USD Coin,usd-coin
5,4172,Terra,terra-luna
6,52,XRP,xrp
7,2010,Cardano,cardano
8,5426,Solana,solana
9,5805,Avalanche,avalanche
10,4687,Binance USD,binance-usd
11,6636,Polkadot,polkadot-new
12,74,Dogecoin,dogecoin
13,7129,TerraUSD,terrausd
14,5994,Shiba Inu,shiba-inu
15,3890,Polygon,polygon
16,3717,Wrapped Bitcoin,wrapped-bitcoin
17,4943,Dai,multi-collateral-dai
18,3635,Cronos,cronos
19,3794,Cosmos,cosmos
20,6535,NEAR Protocol,near-protocol
21,2,Litecoin,litecoin
22,1975,Chainlink,chainlink
23,1958,TRON,tron
24,7083,Uniswap,uniswap
25,4195,FTX Token,ftx-token
26,3957,UNUS SED LEO,unus-sed-leo
27,1831,Bitcoin Cash,bitcoin-cash
28,4030,Algorand,algorand
29,512,Stellar,stellar
30,1966,Decentraland,decentraland
31,4642,Hedera,hedera
32,4023,Bitcoin BEP2,bitcoin-bep2
33,1321,Ethereum Classic,ethereum-classic
34,8916,Internet Computer,internet-computer
35,3513,Fantom,fantom
36,6210,The Sandbox,the-sandbox
37,2280,Filecoin,filecoin
38,328,Monero,monero
39,6892,Elrond,elrond-egld
40,3077,VeChain,vechain
41,1274,Waves,waves
42,4256,Klaytn,klaytn
43,2416,Theta Network,theta-network
44,6783,Axie Infinity,axie-infinity
45,2011,Tezos,tezos
46,5665,Helium,helium
47,1720,IOTA,iota
48,4558,Flow,flow
49,1437,Zcash,zcash
50,1765,EOS,eos
51,4847,Stacks,stacks
52,1518,Maker,maker
53,4157,THORChain,thorchain
54,7186,PancakeSwap,pancakeswap
55,16086,BitTorrent (New),bittorrent-new
56,7278,Aave,aave
57,10791,eCash,ecash
58,6719,The Graph,the-graph
59,7080,Gala,gala
60,3945,Harmony,harmony
61,3602,Bitcoin SV,bitcoin-sv
62,2563,TrueUSD,trueusd
63,2087,KuCoin Token,kucoin-token
64,1376,Neo,neo
65,2502,Huobi Token,huobi-token
66,3155,Quant,quant
67,4066,Chiliz,chiliz
68,2694,Nexo,nexo
69,2130,Enjin Coin,enjin-coin
70,5567,Celo,celo
71,6945,Amp,amp
72,5632,Arweave,arweave
73,5034,Kusama,kusama
74,3897,OKB,okb
75,5647,Kadena,kadena
76,131,Dash,dash
77,1697,Basic Attention Token,basic-attention-token
78,8857,Anchor Protocol,anchor-protocol
79,1934,Loopring,loopring
80,3330,Pax Dollar,paxos-standard
81,6538,Curve DAO Token,curve-dao-token
82,873,NEM,nem
83,9903,Convex Finance,convex-finance
84,3822,Theta Fuel,theta-fuel
85,7653,Oasis Network,oasis-network
86,8677,Symbol,symbol
87,1168,Decred,decred
88,2700,Celsius,celsius
89,5604,Secret,secret
90,3801,BORA,bora
91,8646,Mina,mina
92,5864,yearn.finance,yearn-finance
93,2682,Holo,holo
94,5692,Compound,compound
95,2777,IoTeX,iotex
96,2634,XDC Network,xinfin
97,4705,PAX Gold,pax-gold
98,2099,ICON,icon
99,4279,SXP,sxp
